Run,TISSUE,Phenotype,gender,RIN
SRR5956337,prefrontal cortex (PFC),Stress,male,9
SRR5956338,prefrontal cortex (PFC),Stress,male,8.5
SRR5956339,prefrontal cortex (PFC),Stress,male,8.7
SRR5956340,prefrontal cortex (PFC),Stress,male,9.1
SRR5956341,prefrontal cortex (PFC),Stress,male,9.2
SRR5956342,prefrontal cortex (PFC),Stress,male,8.9
SRR5956343,prefrontal cortex (PFC),Stress,male,9.1
SRR5956344,prefrontal cortex (PFC),Stress,male,8.8
SRR5956345,prefrontal cortex (PFC),Stress,male,8.8
SRR5956346,prefrontal cortex (PFC),Stress,female,7.7
SRR5956347,prefrontal cortex (PFC),Stress,female,8.8
SRR5956348,prefrontal cortex (PFC),Stress,female,8.5
SRR5956349,prefrontal cortex (PFC),Stress,female,8.5
SRR5956350,prefrontal cortex (PFC),Stress,female,8.3
SRR5956351,prefrontal cortex (PFC),Stress,female,8.2
SRR5956352,prefrontal cortex (PFC),Stress,female,8.8
SRR5956353,prefrontal cortex (PFC),Stress,female,9
SRR5956354,prefrontal cortex (PFC),Stress,female,9.3
SRR5956355,prefrontal cortex (PFC),Stress,female,9.3
SRR5956356,prefrontal cortex (PFC),CTRL,male,8.9
SRR5956357,prefrontal cortex (PFC),CTRL,male,8.6
SRR5956358,prefrontal cortex (PFC),CTRL,male,8.7
SRR5956359,prefrontal cortex (PFC),CTRL,male,8.7
SRR5956360,prefrontal cortex (PFC),CTRL,male,8.3
SRR5956361,prefrontal cortex (PFC),CTRL,male,9.4
SRR5956362,prefrontal cortex (PFC),CTRL,male,8.8
SRR5956363,prefrontal cortex (PFC),CTRL,male,10
SRR5956364,prefrontal cortex (PFC),CTRL,male,8.7
SRR5956365,prefrontal cortex (PFC),CTRL,male,9.2
SRR5956366,prefrontal cortex (PFC),CTRL,female,8.9
SRR5956367,prefrontal cortex (PFC),CTRL,female,8.8
SRR5956368,prefrontal cortex (PFC),CTRL,female,9
SRR5956369,prefrontal cortex (PFC),CTRL,female,9
SRR5956370,prefrontal cortex (PFC),CTRL,female,8.9
SRR5956371,prefrontal cortex (PFC),CTRL,female,8.7
SRR5956372,prefrontal cortex (PFC),CTRL,female,8.5
SRR5956373,prefrontal cortex (PFC),CTRL,female,8.9
SRR5956374,prefrontal cortex (PFC),CTRL,female,9.1